item_nsid;item_name;item_code;item_type;project_code;item_category_nsid;item_pattern_nsid
113;Luminous Mask;XBR00113;Build;XLO-XBR00113;18;5
114;Silky Cream;XBR00114;Assembly;VIV-XBR00114;16;2
115;Sensual Dream;XBR00115;Assembly;ZGO-XBR00115;38;3
116;Smooth Essence;XBR00116;Assembly;RNZ-XBR00116;46;2
117;Radiant Cream;XBR00117;Assembly;EJL-XBR00117;7;1
118;Fresh Cream;XBR00118;Build;RIR-XBR00118;33;2
119;Pure Eyes;XBR00119;Build;ETK-XBR00119;3;5
120;Divine Hair;XBR00120;Build;WMA-XBR00120;6;4
121;Pampering Body;XBR00121;Build;VCL-XBR00121;34;6
122;Sensual Eyes;XBR00122;Build;ZHK-XBR00122;11;4
123;Enchanting Mask;XBR00123;Build;ZHK-XBR00123;38;1
124;Pure Eyes;XBR00124;Build;WVM-XBR00124;1;1
125;Dazzling Complexion;XBR00125;Build;BFO-XBR00125;38;3
126;Vibrant Beauty;XBR00126;Build;TXV-XBR00126;7;5
127;Pure Goddess;XBR00127;Build;SEU-XBR00127;37;2
128;Dazzling Dream;XBR00128;Build;UWC-XBR00128;18;2
129;Silky Cream;XBR00129;Assembly;HHT-XBR00129;36;2
130;Dazzling Essence;XBR00130;Build;AAO-XBR00130;27;6
131;Elegant Essence;XBR00131;Build;ABJ-XBR00131;8;3
132;Smooth Lips;XBR00132;Build;YUO-XBR00132;5;2
133;Soothing Dream;XBR00133;Build;FGI-XBR00133;15;1
134;Vibrant Goddess;XBR00134;Assembly;DAQ-XBR00134;19;2
135;Vibrant Face;XBR00135;Build;WPZ-XBR00135;41;4
136;Sensual Cheeks;XBR00136;Build;UYN-XBR00136;28;5
137;Glowing Mist;XBR00137;Build;TFQ-XBR00137;17;6
138;Radiant Complexion;XBR00138;Build;WNR-XBR00138;32;4
139;Vibrant Cream;XBR00139;Assembly;DNE-XBR00139;32;4
140;Pampering Skin;XBR00140;Build;CXA-XBR00140;3;5
141;Youthful Hands;XBR00141;Assembly;JHD-XBR00141;7;3
142;Enchanting Goddess;XBR00142;Build;EJP-XBR00142;22;2
143;Vibrant Lips;XBR00143;Assembly;MMP-XBR00143;14;6
144;Pampering Body;XBR00144;Assembly;RLF-XBR00144;38;6
145;Glowing Beauty;XBR00145;Assembly;QGP-XBR00145;20;2
146;Silky Serum;XBR00146;Assembly;EKM-XBR00146;20;1
147;Silky Cheeks;XBR00147;Assembly;TET-XBR00147;22;5
148;Velvety Glow;XBR00148;Build;SHR-XBR00148;8;1
149;Smooth Face;XBR00149;Assembly;DZX-XBR00149;29;4
150;Elegant Goddess;XBR00150;Build;UHO-XBR00150;48;2
151;Flawless Mist;XBR00151;Assembly;YUX-XBR00151;11;6
152;Sensual Glow;XBR00152;Build;BDD-XBR00152;47;4
153;Flawless Serum;XBR00153;Build;WZI-XBR00153;2;4
154;Velvety Face;XBR00154;Assembly;MLB-XBR00154;46;1
155;Luminous Dream;XBR00155;Assembly;BMW-XBR00155;31;1
156;Radiant Dream;XBR00156;Build;URX-XBR00156;21;5
157;Natural Complexion;XBR00157;Build;LDY-XBR00157;47;4
158;Vibrant Aura;XBR00158;Assembly;PEW-XBR00158;40;1
159;Sensual Glow;XBR00159;Assembly;UCJ-XBR00159;31;6
160;Luxurious Beauty;XBR00160;Assembly;VDE-XBR00160;40;4
161;Enchanting Lips;XBR00161;Build;AOO-XBR00161;2;5
162;Luminous Hair;XBR00162;Build;BGI-XBR00162;35;2
163;Pure Essence;XBR00163;Build;OJT-XBR00163;38;4
164;Flawless Beauty;XBR00164;Assembly;ADM-XBR00164;42;3
165;Pure Lips;XBR00165;Assembly;PNZ-XBR00165;46;1
166;Dazzling Beauty;XBR00166;Build;TVX-XBR00166;37;3
167;Luxurious Glow;XBR00167;Build;CIQ-XBR00167;50;1
168;Soothing Cream;XBR00168;Assembly;ZDY-XBR00168;48;2
169;Radiant Skin;XBR00169;Build;AAU-XBR00169;7;6
170;Velvety Serum;XBR00170;Assembly;ZOU-XBR00170;42;3
171;Luminous Mask;XBR00171;Build;PCS-XBR00171;50;3
172;Sensual Face;XBR00172;Build;AAE-XBR00172;34;1
173;Elegant Essence;XBR00173;Assembly;ISO-XBR00173;13;6
174;Glowing Face;XBR00174;Build;ZMO-XBR00174;28;4
175;Flawless Skin;XBR00175;Build;YXW-XBR00175;9;3
176;Fresh Beauty;XBR00176;Assembly;XNN-XBR00176;36;2
177;Radiant Aura;XBR00177;Assembly;RVG-XBR00177;27;4
178;Luminous Serum;XBR00178;Build;NBI-XBR00178;40;3
179;Youthful Nails;XBR00179;Build;IWZ-XBR00179;35;4
180;Dazzling Cheeks;XBR00180;Build;AJO-XBR00180;42;5
181;Smooth Goddess;XBR00181;Build;SKM-XBR00181;17;2
182;Luxurious Nails;XBR00182;Assembly;LKC-XBR00182;3;5
183;Soothing Eyes;XBR00183;Assembly;GOY-XBR00183;36;5
184;Velvety Hands;XBR00184;Build;PXL-XBR00184;16;2
185;Radiant Eyes;XBR00185;Build;LTQ-XBR00185;39;1
186;Elegant Mist;XBR00186;Assembly;VJE-XBR00186;7;1
187;Natural Eyes;XBR00187;Build;UHL-XBR00187;8;4
188;Divine Essence;XBR00188;Build;SMB-XBR00188;34;2
189;Luxurious Skin;XBR00189;Assembly;VQJ-XBR00189;33;5
190;Pampering Goddess;XBR00190;Assembly;ZBB-XBR00190;12;3
191;Pampering Beauty;XBR00191;Assembly;JGW-XBR00191;15;6
192;Dazzling Lips;XBR00192;Build;ZZP-XBR00192;22;1
193;Luxurious Hair;XBR00193;Assembly;JJK-XBR00193;23;4
194;Divine Mist;XBR00194;Build;AED-XBR00194;37;4
195;Enchanting Dream;XBR00195;Assembly;NXD-XBR00195;7;3
196;Radiant Serum;XBR00196;Assembly;JJX-XBR00196;27;5
197;Glowing Beauty;XBR00197;Build;UGO-XBR00197;22;5
198;Luminous Glow;XBR00198;Build;QCF-XBR00198;46;4
199;Sensual Eyes;XBR00199;Assembly;FMF-XBR00199;33;1
200;Sensual Body;XBR00200;Assembly;JQV-XBR00200;3;4
201;Luminous Mist;XBR00201;Build;BEE-XBR00201;45;3
202;Dazzling Mask;XBR00202;Build;JYA-XBR00202;28;3
203;Flawless Hands;XBR00203;Build;DZG-XBR00203;36;5
204;Flawless Essence;XBR00204;Build;AMT-XBR00204;24;2
205;Pure Nails;XBR00205;Assembly;XKZ-XBR00205;13;4
206;Luminous Skin;XBR00206;Build;PKI-XBR00206;45;5
207;Soothing Serum;XBR00207;Assembly;VGO-XBR00207;31;3
208;Pampering Hands;XBR00208;Assembly;QVN-XBR00208;13;6
209;Flawless Complexion;XBR00209;Assembly;KQI-XBR00209;1;4
210;Enchanting Mask;XBR00210;Build;XXV-XBR00210;5;4
211;Pampering Glow;XBR00211;Build;OXQ-XBR00211;29;5
212;Enchanting Goddess;XBR00212;Build;ALE-XBR00212;17;6
213;Silky Face;XBR00213;Assembly;NVF-XBR00213;25;5
214;Vibrant Serum;XBR00214;Assembly;SZQ-XBR00214;19;4
215;Flawless Glow;XBR00215;Assembly;JMM-XBR00215;15;3
216;Glowing Eyes;XBR00216;Assembly;SDR-XBR00216;15;6
217;Pampering Goddess;XBR00217;Assembly;HFI-XBR00217;16;2
218;Youthful Skin;XBR00218;Assembly;ZMS-XBR00218;27;3
219;Natural Hands;XBR00219;Build;LIS-XBR00219;32;5
220;Pampering Glow;XBR00220;Build;HHU-XBR00220;33;3
221;Youthful Cream;XBR00221;Assembly;OWB-XBR00221;41;3
222;Natural Dream;XBR00222;Assembly;BPM-XBR00222;1;3
223;Luxurious Aura;XBR00223;Build;RNH-XBR00223;19;4
224;Radiant Cream;XBR00224;Assembly;GUA-XBR00224;49;3
225;Sensual Cheeks;XBR00225;Assembly;NQC-XBR00225;10;2
226;Elegant Essence;XBR00226;Build;APN-XBR00226;45;1
227;Velvety Face;XBR00227;Assembly;KNS-XBR00227;25;2
228;Glowing Cheeks;XBR00228;Build;VYT-XBR00228;48;6
229;Natural Nails;XBR00229;Build;THG-XBR00229;8;1
230;Pampering Face;XBR00230;Assembly;ETK-XBR00230;35;2
231;Luxurious Serum;XBR00231;Build;LSI-XBR00231;47;3
232;Sensual Serum;XBR00232;Build;BEI-XBR00232;31;5
233;Radiant Complexion;XBR00233;Assembly;VRV-XBR00233;36;5
234;Smooth Body;XBR00234;Assembly;XIF-XBR00234;27;6
235;Silky Goddess;XBR00235;Assembly;WPH-XBR00235;39;5
236;Pure Beauty;XBR00236;Assembly;QSL-XBR00236;17;3
237;Smooth Mask;XBR00237;Assembly;YST-XBR00237;3;4
238;Enchanting Lips;XBR00238;Build;APW-XBR00238;48;2
239;Divine Face;XBR00239;Build;AII-XBR00239;36;2
240;Enchanting Hands;XBR00240;Build;TOO-XBR00240;7;1
241;Flawless Mist;XBR00241;Build;LWE-XBR00241;30;1
242;Fresh Serum;XBR00242;Build;KYR-XBR00242;43;3
243;Soothing Hair;XBR00243;Build;NXP-XBR00243;46;6
244;Radiant Dream;XBR00244;Build;BCW-XBR00244;38;4
245;Flawless Serum;XBR00245;Build;UMI-XBR00245;31;1
246;Glowing Mist;XBR00246;Build;BDH-XBR00246;29;2
247;Luminous Face;XBR00247;Assembly;ONA-XBR00247;20;3
248;Velvety Cream;XBR00248;Assembly;UNS-XBR00248;23;3
249;Luxurious Dream;XBR00249;Build;KBZ-XBR00249;12;4
250;Vibrant Goddess;XBR00250;Build;LVV-XBR00250;33;2
251;Radiant Eyes;XBR00251;Assembly;SFB-XBR00251;15;5
252;Vibrant Aura;XBR00252;Build;MKV-XBR00252;15;6
253;Glowing Face;XBR00253;Build;QOB-XBR00253;30;4
254;Sensual Hair;XBR00254;Build;HQY-XBR00254;31;6
255;Silky Aura;XBR00255;Build;GSL-XBR00255;26;3
256;Pampering Hands;XBR00256;Build;YHQ-XBR00256;17;5
257;Flawless Dream;XBR00257;Assembly;MDV-XBR00257;14;4
258;Glowing Mask;XBR00258;Assembly;FXF-XBR00258;45;4
259;Enchanting Complexion;XBR00259;Assembly;GIJ-XBR00259;50;2
260;Natural Hair;XBR00260;Assembly;GGV-XBR00260;24;3
261;Fresh Serum;XBR00261;Assembly;UGZ-XBR00261;34;3
262;Luminous Mist;XBR00262;Assembly;GVV-XBR00262;20;3
263;Elegant Goddess;XBR00263;Assembly;SSN-XBR00263;35;4
264;Enchanting Cream;XBR00264;Assembly;KTM-XBR00264;28;1
265;Elegant Body;XBR00265;Assembly;MWW-XBR00265;1;6
266;Smooth Serum;XBR00266;Build;UGE-XBR00266;18;6
267;Fresh Serum;XBR00267;Assembly;RFF-XBR00267;21;1
268;Soothing Eyes;XBR00268;Assembly;DSO-XBR00268;48;5
269;Velvety Beauty;XBR00269;Assembly;WPM-XBR00269;26;2
270;Glowing Hands;XBR00270;Assembly;ELW-XBR00270;31;1
271;Fresh Cream;XBR00271;Assembly;SAT-XBR00271;15;3
272;Vibrant Mist;XBR00272;Build;TIR-XBR00272;15;2
273;Sensual Lips;XBR00273;Build;RFH-XBR00273;15;6
274;Smooth Skin;XBR00274;Build;CPZ-XBR00274;11;2
275;Luxurious Dream;XBR00275;Assembly;OVZ-XBR00275;13;5
276;Enchanting Mist;XBR00276;Assembly;IQQ-XBR00276;32;2
277;Dazzling Nails;XBR00277;Build;QBG-XBR00277;12;6
278;Luxurious Aura;XBR00278;Assembly;BXT-XBR00278;12;2
279;Enchanting Mask;XBR00279;Assembly;NBN-XBR00279;28;4
280;Flawless Dream;XBR00280;Build;SBN-XBR00280;28;4
281;Radiant Eyes;XBR00281;Assembly;ACL-XBR00281;22;3
282;Glowing Mask;XBR00282;Build;DBR-XBR00282;4;6
283;Sensual Serum;XBR00283;Assembly;KBI-XBR00283;45;2
284;Smooth Nails;XBR00284;Build;HHV-XBR00284;43;3
285;Smooth Beauty;XBR00285;Build;XYM-XBR00285;19;1
286;Fresh Beauty;XBR00286;Build;OYQ-XBR00286;41;4
287;Divine Cheeks;XBR00287;Assembly;GVO-XBR00287;46;1
288;Elegant Glow;XBR00288;Assembly;ONI-XBR00288;19;2
289;Elegant Cream;XBR00289;Assembly;EVX-XBR00289;14;3
290;Silky Nails;XBR00290;Assembly;AMR-XBR00290;2;4
291;Youthful Hands;XBR00291;Build;YBW-XBR00291;29;5
292;Glowing Mask;XBR00292;Assembly;OVY-XBR00292;32;4
293;Luminous Mask;XBR00293;Assembly;PMG-XBR00293;29;2
294;Enchanting Complexion;XBR00294;Assembly;SXW-XBR00294;11;2
295;Pampering Mist;XBR00295;Assembly;JXL-XBR00295;21;1
296;Soothing Mist;XBR00296;Build;IBF-XBR00296;50;4
297;Smooth Nails;XBR00297;Assembly;AFG-XBR00297;18;5
298;Sensual Face;XBR00298;Assembly;STT-XBR00298;48;4
299;Silky Mist;XBR00299;Assembly;SLI-XBR00299;27;6
300;Youthful Body;XBR00300;Assembly;EGL-XBR00300;32;2
301;Sensual Nails;XBR00301;Build;XOA-XBR00301;28;5
302;Elegant Nails;XBR00302;Assembly;VIE-XBR00302;28;5
303;Luminous Dream;XBR00303;Assembly;UUK-XBR00303;27;1
304;Dazzling Aura;XBR00304;Build;EGC-XBR00304;21;6
305;Radiant Hands;XBR00305;Assembly;QKB-XBR00305;38;5
306;Pampering Hands;XBR00306;Build;JQX-XBR00306;4;2
307;Glowing Nails;XBR00307;Build;FUN-XBR00307;22;2
308;Fresh Face;XBR00308;Build;CWE-XBR00308;33;6
309;Youthful Body;XBR00309;Assembly;KDZ-XBR00309;3;2
310;Smooth Eyes;XBR00310;Build;RQY-XBR00310;17;6
311;Dazzling Complexion;XBR00311;Assembly;MCQ-XBR00311;21;1
312;Fresh Complexion;XBR00312;Assembly;TCT-XBR00312;16;3
313;Sensual Mask;XBR00313;Build;YCK-XBR00313;39;1
314;Soothing Body;XBR00314;Assembly;ZLO-XBR00314;6;1
315;Radiant Cheeks;XBR00315;Assembly;ZOR-XBR00315;4;2
316;Divine Cheeks;XBR00316;Assembly;PCP-XBR00316;19;5
317;Silky Hands;XBR00317;Assembly;PTF-XBR00317;19;5
318;Fresh Skin;XBR00318;Build;AUH-XBR00318;19;1
319;Dazzling Mist;XBR00319;Build;XIR-XBR00319;48;4
320;Luminous Hands;XBR00320;Build;XRY-XBR00320;29;3
321;Soothing Mist;XBR00321;Assembly;RWX-XBR00321;1;5
322;Dazzling Complexion;XBR00322;Assembly;DRI-XBR00322;21;3
323;Luminous Complexion;XBR00323;Build;TQU-XBR00323;50;3
324;Enchanting Serum;XBR00324;Build;AUT-XBR00324;35;2
325;Glowing Nails;XBR00325;Assembly;CFF-XBR00325;42;1
326;Glowing Hair;XBR00326;Build;KIP-XBR00326;30;3
327;Youthful Hands;XBR00327;Build;JYA-XBR00327;37;5
328;Enchanting Mist;XBR00328;Assembly;VJR-XBR00328;48;4
329;Vibrant Hands;XBR00329;Assembly;TKP-XBR00329;32;5
330;Flawless Hair;XBR00330;Assembly;LNE-XBR00330;44;1
331;Radiant Body;XBR00331;Build;IKQ-XBR00331;41;6
332;Soothing Skin;XBR00332;Assembly;LXT-XBR00332;13;1
333;Dazzling Complexion;XBR00333;Assembly;WIC-XBR00333;40;4
334;Flawless Beauty;XBR00334;Build;SYD-XBR00334;34;1
335;Enchanting Glow;XBR00335;Assembly;QWM-XBR00335;20;3
336;Luminous Body;XBR00336;Build;EJD-XBR00336;30;2
337;Radiant Dream;XBR00337;Build;XKW-XBR00337;21;1
338;Glowing Eyes;XBR00338;Assembly;PRG-XBR00338;37;1
339;Dazzling Glow;XBR00339;Assembly;IRG-XBR00339;49;4
340;Natural Goddess;XBR00340;Assembly;UJF-XBR00340;22;3
341;Sensual Skin;XBR00341;Build;QAI-XBR00341;9;2
342;Youthful Eyes;XBR00342;Build;SJO-XBR00342;2;3
343;Youthful Goddess;XBR00343;Build;DBR-XBR00343;33;6
344;Flawless Cheeks;XBR00344;Build;YIC-XBR00344;31;2
345;Natural Hands;XBR00345;Build;LGD-XBR00345;34;1
346;Pure Eyes;XBR00346;Build;BZO-XBR00346;33;1
347;Soothing Mask;XBR00347;Build;GMD-XBR00347;13;4
348;Elegant Mask;XBR00348;Build;RVP-XBR00348;11;3
349;Dazzling Dream;XBR00349;Build;MQQ-XBR00349;40;4
350;Fresh Face;XBR00350;Assembly;BBK-XBR00350;25;1
351;Pampering Cream;XBR00351;Build;ELA-XBR00351;37;6
352;Velvety Beauty;XBR00352;Assembly;MPW-XBR00352;29;5
353;Sensual Mask;XBR00353;Assembly;NXI-XBR00353;4;5
354;Fresh Dream;XBR00354;Assembly;DVD-XBR00354;11;3
355;Pampering Lips;XBR00355;Build;UES-XBR00355;33;1
356;Dazzling Mist;XBR00356;Assembly;YKX-XBR00356;4;3
357;Radiant Serum;XBR00357;Assembly;WTD-XBR00357;10;3
358;Flawless Face;XBR00358;Build;ATK-XBR00358;17;3
359;Pampering Cheeks;XBR00359;Assembly;KRJ-XBR00359;41;3
360;Enchanting Skin;XBR00360;Build;OLI-XBR00360;5;1
361;Luxurious Lips;XBR00361;Build;JQQ-XBR00361;12;6
362;Smooth Glow;XBR00362;Assembly;NNT-XBR00362;3;2
363;Pampering Goddess;XBR00363;Build;LJI-XBR00363;1;6
364;Vibrant Goddess;XBR00364;Assembly;MIN-XBR00364;47;3
365;Glowing Face;XBR00365;Build;VUH-XBR00365;32;1
366;Fresh Mist;XBR00366;Assembly;GNS-XBR00366;44;1
367;Silky Lips;XBR00367;Build;ZCO-XBR00367;22;6
368;Elegant Hands;XBR00368;Assembly;GHS-XBR00368;28;5
369;Radiant Dream;XBR00369;Assembly;FMF-XBR00369;36;3
370;Sensual Goddess;XBR00370;Build;DZC-XBR00370;31;6
371;Pampering Hands;XBR00371;Assembly;EZI-XBR00371;12;5
372;Elegant Body;XBR00372;Assembly;OPS-XBR00372;7;1
373;Sensual Dream;XBR00373;Build;ZZL-XBR00373;29;2
374;Divine Complexion;XBR00374;Assembly;VUP-XBR00374;50;6
375;Radiant Hands;XBR00375;Assembly;TYK-XBR00375;20;2
376;Pampering Serum;XBR00376;Build;LXL-XBR00376;49;5
377;Elegant Glow;XBR00377;Assembly;ARY-XBR00377;47;6
378;Youthful Mist;XBR00378;Build;QWA-XBR00378;28;3
379;Soothing Lips;XBR00379;Build;IRB-XBR00379;1;2
380;Velvety Cheeks;XBR00380;Assembly;DZA-XBR00380;47;3
381;Natural Complexion;XBR00381;Assembly;TUU-XBR00381;31;6
382;Dazzling Eyes;XBR00382;Build;GXX-XBR00382;17;6
383;Pampering Essence;XBR00383;Build;GLE-XBR00383;48;3
384;Luxurious Hair;XBR00384;Assembly;GPU-XBR00384;7;5
385;Luminous Goddess;XBR00385;Build;FYP-XBR00385;23;3
386;Smooth Mist;XBR00386;Build;GAX-XBR00386;31;5
387;Flawless Skin;XBR00387;Build;CWN-XBR00387;43;4
388;Luminous Body;XBR00388;Assembly;WKY-XBR00388;10;6
389;Velvety Dream;XBR00389;Build;DJX-XBR00389;13;1
390;Soothing Cheeks;XBR00390;Assembly;PMS-XBR00390;3;3
391;Luminous Dream;XBR00391;Assembly;JQH-XBR00391;25;5
392;Pampering Serum;XBR00392;Assembly;GFD-XBR00392;11;5
393;Elegant Aura;XBR00393;Assembly;IJP-XBR00393;32;2
394;Soothing Beauty;XBR00394;Assembly;MNZ-XBR00394;45;1
395;Youthful Mist;XBR00395;Assembly;EKT-XBR00395;5;3
396;Silky Beauty;XBR00396;Assembly;QEZ-XBR00396;48;4
397;Pampering Body;XBR00397;Build;NBP-XBR00397;43;2
398;Divine Hair;XBR00398;Assembly;KFF-XBR00398;47;1
399;Youthful Face;XBR00399;Assembly;OEV-XBR00399;2;2
400;Soothing Mist;XBR00400;Assembly;SOQ-XBR00400;22;2
401;Glowing Glow;XBR00401;Build;LVN-XBR00401;1;5
402;Smooth Face;XBR00402;Build;RIJ-XBR00402;22;5
403;Silky Body;XBR00403;Build;TGS-XBR00403;39;1
404;Elegant Dream;XBR00404;Assembly;BLR-XBR00404;4;1
405;Divine Body;XBR00405;Assembly;ZZI-XBR00405;25;6
